consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word18,word19,word20,word21,word22,word23,word24,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24
0,0,0,0,1,Consent1.png,A3T9WZOUQGE2UW,001,2020-07-27_20h26.20.516,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3T9WZOUQGE2UW,001,2020-07-27_20h26.20.516,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3T9WZOUQGE2UW,001,2020-07-27_20h26.20.516,Fluency_Task,2020.1.2,Win32,60,space,1.579755001,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3T9WZOUQGE2UW,001,2020-07-27_20h26.20.516,Fluency_Task,2020.1.2,Win32,60,space,12.381375,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3T9WZOUQGE2UW,001,2020-07-27_20h26.20.516,Fluency_Task,2020.1.2,Win32,60,space,5.494135,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3T9WZOUQGE2UW,001,2020-07-27_20h26.20.516,Fluency_Task,2020.1.2,Win32,60,space,18.3726,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3T9WZOUQGE2UW,001,2020-07-27_20h26.20.516,Fluency_Task,2020.1.2,Win32,60,space,7.654425003,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3T9WZOUQGE2UW,001,2020-07-27_20h26.20.516,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,3.725280002,cat,dog,hamster,bunny,chinchilla,horse,cow,pig,bull,giraffe,zebra,duck,bear,deer,ram,lion,tiger,86,85,83,80,75,70,69,64,61,60,58,43,32,30,17,8,7,2,3.568824999,I first thought about pets.  Then I thought about wild and zoo animals.,j,2.573975001,0,0,0,6,1,Animals,Semantic,j,,,,,,,,,,,,,,
,,,,,,A3T9WZOUQGE2UW,001,2020-07-27_20h26.20.516,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fan,football,fresh,frozen,fall,fickle,fabulous,funny,funky,flabby,flank,fly,finger,fun,fin,flower,,87,83,80,79,77,63,59,56,54,49,47,39,31,24,21,10,,4,2.4443,I looked around the room. Then I thought about objects or adjectives.,p,1.335160002,0,1,1,3,1,Words that start with F,Phonemic,p,,,,,,,,,,,,,,
,,,,,,A3T9WZOUQGE2UW,001,2020-07-27_20h26.20.516,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,tables,pts,forks,spoons,knives,napkins,waiter,cook,placemats,menus,drinks,cups,meat,vegetables,desserts,chairs,tv,85,84,82,80,78,76,69,67,64,62,60,58,56,54,51,44,41,2,1.847720001,I thought about the objects in a restaurant.  Then food  and drinks.,p,1.628405001,0,2,2,1,1,Things in a Restaurant,Spatial,p,phone,money,credit cards,kiosks,booths,doors,windows,33,32,27,15,11,4,1
