consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word13,word14,rt_13,rt_14,word15,word16,word17,rt_15,rt_16,rt_17
0,0,0,0,1,Consent1.png,A3G8OON0TDPN1E,001,2020-07-27_17h35.47.708,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3G8OON0TDPN1E,001,2020-07-27_17h35.47.708,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3G8OON0TDPN1E,001,2020-07-27_17h35.47.708,Fluency_Task,2020.1.2,Win32,60,space,1.10754,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3G8OON0TDPN1E,001,2020-07-27_17h35.47.708,Fluency_Task,2020.1.2,Win32,60,space,12.15176,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3G8OON0TDPN1E,001,2020-07-27_17h35.47.708,Fluency_Task,2020.1.2,Win32,60,space,4.015185,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3G8OON0TDPN1E,001,2020-07-27_17h35.47.708,Fluency_Task,2020.1.2,Win32,60,space,16.928735,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3G8OON0TDPN1E,001,2020-07-27_17h35.47.708,Fluency_Task,2020.1.2,Win32,60,space,8.32582,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3G8OON0TDPN1E,001,2020-07-27_17h35.47.708,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,6.54184,shit,safe,sex,something,saber,sauce,saxaphone,soda,science,song,score,saint,83,80,77,73,67,65,58,53,47,38,26,20,5,3.072285,was trying to thing of every day things.  stuff that someone normally encounters,p,1.958855,0,0,0,5,1,Words that start with S,Phonemic,p,,,,,,,,,,
,,,,,,A3G8OON0TDPN1E,001,2020-07-27_17h35.47.708,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,table,chair,waiter,cook,curtain,dishes,food,lights,people,,,,83,82,80,79,73,70,68,49,17,,,,5,1.206455,thinking about the last trip to one.  they all vary a lot though,p,1.115205,0,1,1,1,1,Things in a Restaurant,Spatial,p,,,,,,,,,,
,,,,,,A3G8OON0TDPN1E,001,2020-07-27_17h35.47.708,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,carpet,counter,table,couch,clock,chair,,,,,,,85,84,82,81,79,70,,,,,,,6,1.42808,"it has been a long time since we have been to one thanks to corona virus. last stay was a resort, though, and not a hotel",j,1.17687,0,2,2,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,
,,,,,,A3G8OON0TDPN1E,001,2020-07-27_17h35.47.708,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,football,basketball,baseball,golf,hockey,badmiton,volley ball,track,,,,,86,83,79,76,74,64,54,47,,,,,6,17.80568,trying to remember all the ones played years ago,j,1.42601,0,3,3,8,1,Sports,Semantic,j,,,,,,,,,,
,,,,,,A3G8OON0TDPN1E,001,2020-07-27_17h35.47.708,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,dog,car,cat,deer,rabbit,lion,tiger,bear,elephant,donkey,mule,horse,88,87,84,82,80,74,72,70,63,61,58,56,5,14.2437,"wizard of oz came to mind. then, life on the farm",j,1.44704,0,4,4,6,1,Animals,Semantic,j,cow,pig,55,53,,,,,,
,,,,,,A3G8OON0TDPN1E,001,2020-07-27_17h35.47.708,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,farm,future,frame,fear,father,feather,fake,fail,fast,former,far,fetch,84,81,78,76,74,70,60,57,55,51,47,44,5,0.660825,tried not to be profane. think of everyday items,p,1.164935,0,5,5,3,1,Words that start with F,Phonemic,p,fantasy,football,31,28,fandango,fancy,fetuccini,24,20,10
,,,,,,A3G8OON0TDPN1E,001,2020-07-27_17h35.47.708,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,boxes,lights,tools,junk,,,,,,,,88,85,82,76,72,,,,,,,,6,1.382615,don't have a garage. trying to think what friends had.,j,1.40781,0,6,6,0,1,Things in a Garage,Spatial,j,,,,,,,,,,
,,,,,,A3G8OON0TDPN1E,001,2020-07-27_17h35.47.708,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,programmer,marketer,vendor,maid,cleaner,architect,engineer,consultant,designer,gardner,,,83,81,79,75,73,67,65,59,55,47,,,6,1.95029,college choices and where one is at in life.  customer professions helped,p,1.160885,0,7,7,7,1,Occupations,Semantic,p,,,,,,,,,,
,,,,,,A3G8OON0TDPN1E,001,2020-07-27_17h35.47.708,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,apartment,angle,angel,amplifier,axe,ace,amt,ant,access,accept,aquire,87,85,80,79,69,65,64,62,60,60,52,46,5,0.64648,let the words flow. everyday talk and items,j,1.162425,0,8,8,4,1,Words that start with A,Phonemic,j,act,action,40,27,accord,accordion,,24,19,16
