consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word10,word11,rt_10,rt_11,rt_12,word12,word13,word14,word15,rt_13,rt_14,rt_15,word16,word17,word18,word19,word20,word21,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21
0,0,0,0,1,Consent1.png,A37OUZOGQKGMW0,001,2020-07-27_16h23.27.179,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A37OUZOGQKGMW0,001,2020-07-27_16h23.27.179,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A37OUZOGQKGMW0,001,2020-07-27_16h23.27.179,Fluency_Task,2020.1.2,Win32,60,space,356.715485,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A37OUZOGQKGMW0,001,2020-07-27_16h23.27.179,Fluency_Task,2020.1.2,Win32,60,space,211.508675,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A37OUZOGQKGMW0,001,2020-07-27_16h23.27.179,Fluency_Task,2020.1.2,Win32,60,space,17.21389,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A37OUZOGQKGMW0,001,2020-07-27_16h23.27.179,Fluency_Task,2020.1.2,Win32,60,space,23.73187,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A37OUZOGQKGMW0,001,2020-07-27_16h23.27.179,Fluency_Task,2020.1.2,Win32,60,space,31.31783,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A37OUZOGQKGMW0,001,2020-07-27_16h23.27.179,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,12.469315,save,simple,store,sabbath,staple,stable,sack,stamp,sugar,78,61,57,52,43,39,31,18,9,5,8.974115,I just thought of words randomly.,return,7.965725,0,0,0,5,1,Words that start with S,Phonemic,p,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A37OUZOGQKGMW0,001,2020-07-27_16h23.27.179,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,vollyball,basketball,soccer,football,swimming,track,badminton,horsehoes,,77,62,44,38,33,23,17,8,,5,3.02245,,j,20.99283,0,1,1,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A37OUZOGQKGMW0,001,2020-07-27_16h23.27.179,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cookies,desk,chair,lamp,telephone,computer,newpaper,plants,flowers,80,75,73,62,59,50,46,36,32,5,3.9678,I thought of things at random.,j,3.36096,0,2,2,2,1,Things in a Hotel Lobby,Spatial,j,telision,fireplace,27,22,15,,,,,,,,,,,,,,,,,,,
