consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET
0,0,0,0,1,Consent1.png,ADWJTFRSEDLU6,001,2020-07-27_17h22.27.194,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,ADWJTFRSEDLU6,001,2020-07-27_17h22.27.194,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ADWJTFRSEDLU6,001,2020-07-27_17h22.27.194,Fluency_Task,2020.1.2,Win32,60,space,3.916,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ADWJTFRSEDLU6,001,2020-07-27_17h22.27.194,Fluency_Task,2020.1.2,Win32,60,space,31.971,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ADWJTFRSEDLU6,001,2020-07-27_17h22.27.194,Fluency_Task,2020.1.2,Win32,60,space,84.07,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ADWJTFRSEDLU6,001,2020-07-27_17h22.27.194,Fluency_Task,2020.1.2,Win32,60,space,39.34,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ADWJTFRSEDLU6,001,2020-07-27_17h22.27.194,Fluency_Task,2020.1.2,Win32,60,space,12.854,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ADWJTFRSEDLU6,001,2020-07-27_17h22.27.194,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,7.585,sale,work,salary,wagae,hours,day,month,team,manager,supervisor,75,70,66,59,43,41,38,32,29,25,7,3.069,some difficult,p,2.907,0,0,0,7,1,Occupations,Semantic,p
,,,,,,ADWJTFRSEDLU6,001,2020-07-27_17h22.27.194,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,taste,enjoy,worth,varity of food,workers,waiters,rooms,thinks,,,83,80,76,60,52,48,37,34,,,7,2.708,interest,j,3.06,0,1,1,2,1,Things in a Hotel Lobby,Spatial,j
,,,,,,ADWJTFRSEDLU6,001,2020-07-27_17h22.27.194,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,friend,fruit,flower,football,fix,full,food,fast,false,,80,78,73,69,59,57,55,39,33,,6,2.226,interest,p,1.456,0,2,2,3,1,Words that start with F,Phonemic,p
,,,,,,ADWJTFRSEDLU6,001,2020-07-27_17h22.27.194,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fox,lion,tiger,elephant,rabbit,rat,cow,kitten,,,81,74,70,65,60,49,39,27,,,6,1.959,good,j,1.213,0,3,3,6,1,Animals,Semantic,j
,,,,,,ADWJTFRSEDLU6,001,2020-07-27_17h22.27.194,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,bike,horse vehicle,save the foods item,vegetable save item,,,,,,81,75,49,32,22,,,,,,6,1.64,difficult,j,1.213,0,4,4,0,1,Things in a Garage,Spatial,j
,,,,,,ADWJTFRSEDLU6,001,2020-07-27_17h22.27.194,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,store,same,sad,smile,sweet,swat,swim,,,,84,78,70,67,65,62,55,,,,7,2.546,very difficult,p,1.272,0,5,5,5,1,Words that start with S,Phonemic,p
,,,,,,ADWJTFRSEDLU6,001,2020-07-27_17h22.27.194,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,art,animal,arm,audit,audio,among,avast,await,away,,79,70,67,62,60,42,39,32,30,,6,7.814,difficult,j,1.19,0,6,6,4,1,Words that start with A,Phonemic,j
,,,,,,ADWJTFRSEDLU6,001,2020-07-27_17h22.27.194,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,food,sweet  item,waiter,order,sale,work,,,,,83,75,65,56,53,51,,,,,7,1.58,difficult,p,11.803,0,7,7,1,1,Things in a Restaurant,Spatial,p
,,,,,,ADWJTFRSEDLU6,001,2020-07-27_17h22.27.194,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cricket,football,baseketball,tennis,vollyball,hockey,ground,stadium,players,,76,74,55,50,43,29,18,11,5,,4,2.498,interest,j,1.508,0,8,8,8,1,Sports,Semantic,j
