consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word14,word15,word16,word17,word18,word19,word20,word21,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,word22,rt_22,word23,word24,word25,word26,word27,word28,word29,word30,word31,word32,rt_23,rt_24,rt_25,rt_26,rt_27,rt_28,rt_29,rt_30,rt_31,rt_32
0,0,0,0,1,Consent1.png,A11PIARI7WALAX,001,2020-07-27_14h01.48.166,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A11PIARI7WALAX,001,2020-07-27_14h01.48.166,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11PIARI7WALAX,001,2020-07-27_14h01.48.166,Fluency_Task,2020.1.2,Win32,60,space,3.50975,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11PIARI7WALAX,001,2020-07-27_14h01.48.166,Fluency_Task,2020.1.2,Win32,60,space,18.347495,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11PIARI7WALAX,001,2020-07-27_14h01.48.166,Fluency_Task,2020.1.2,Win32,60,space,5.445395,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11PIARI7WALAX,001,2020-07-27_14h01.48.166,Fluency_Task,2020.1.2,Win32,60,space,13.831095,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11PIARI7WALAX,001,2020-07-27_14h01.48.166,Fluency_Task,2020.1.2,Win32,60,space,11.35086,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11PIARI7WALAX,001,2020-07-27_14h01.48.166,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,12.03991,fork,spoon,napkin,plates,tables,cashier,cash register,water,glass,lights,chef,waiter,knives,81,79,77,75,67,59,55,47,43,29,25,23,13,2,3.069015,"I imagined restaurants I've been to, and imagined how the process was when I was there. From entering the establishment, getting to my seats, ordering food, and eating it.",p,17.82218,0,0,0,1,1,Things in a Restaurant,Spatial,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11PIARI7WALAX,001,2020-07-27_14h01.48.166,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fun,fear,fair,fluff,funky,flair,fire,fireworks,fungi,flip,flop,flash,from,85,83,82,78,76,68,67,66,61,59,57,53,49,2,2.053645,"At first, I just wrote in the first things that came to mind, but then afterwards I tried going by categories such as animals.",p,109.726955,0,1,1,3,1,Words that start with F,Phonemic,p,frog,ferret,fox,fin,fame,fine,fee,four,44,43,39,36,25,17,8,3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A11PIARI7WALAX,001,2020-07-27_14h01.48.166,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,wrench,hammer,nails,toolbox,screws,screwdriver,wood,concrete,boxes,,,,85,80,77,76,75,69,67,62,45,39,,,,5,3.117775,"I imagined objects in my own garage, and then that helped me think of associated objects. So if I thought of hammer, then of course I think of nails as well.",j,1.69557,0,2,2,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
