consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET
0,0,0,0,1,Consent1.png,A3KES9PLKHHIRI,001,2020-07-28_07h00.37.560,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A3KES9PLKHHIRI,001,2020-07-28_07h00.37.560,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3KES9PLKHHIRI,001,2020-07-28_07h00.37.560,Fluency_Task,2020.1.2,Win32,60,space,67.339035,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3KES9PLKHHIRI,001,2020-07-28_07h00.37.560,Fluency_Task,2020.1.2,Win32,60,space,14.431765,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3KES9PLKHHIRI,001,2020-07-28_07h00.37.560,Fluency_Task,2020.1.2,Win32,60,space,32.297365,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3KES9PLKHHIRI,001,2020-07-28_07h00.37.560,Fluency_Task,2020.1.2,Win32,60,space,20.653015,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3KES9PLKHHIRI,001,2020-07-28_07h00.37.560,Fluency_Task,2020.1.2,Win32,60,space,4.94653,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A3KES9PLKHHIRI,001,2020-07-28_07h00.37.560,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,2,21.21146,apple,age,acceleration,accept,annoyed,anger,accept,arrest,amazing,attest,afraid,attraction,apology,amazing,aches,ashes,78,77,72,68,63,60,53,49,43,39,35,28,22,16,5,1,7,13.15244,just did. words came to me easily,j,5.27569,0,0,0,4,1,Words that start with A,Phonemic,j
,,,,,,A3KES9PLKHHIRI,001,2020-07-28_07h00.37.560,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,nurse,doctor,pharmacist,engineer,scientist,psychologist,lawyer,mechanic,nutistionist,banker,,,,,,,70,67,62,56,51,35,32,25,12,1,,,,,,,4,7.58467,just did,p,2.885745,0,1,1,7,1,Occupations,Semantic,p
,,,,,,A3KES9PLKHHIRI,001,2020-07-28_07h00.37.560,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fail,force,farm,fatigue,fancy,fable,fiction,familar,factor,family,father,fantasy,fruits,fable,face,fruits,86,82,80,75,71,67,62,59,55,52,49,44,39,34,23,20,7,4.744255,just did,p,1.814935,0,2,2,3,1,Words that start with F,Phonemic,p
