consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26,rt_27,rt_28,rt_29,rt_30,rt_31,rt_32,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word1,word2,word3,word4,word5,word6,word7
0,0,0,0,1,Consent1.png,AZFBGIFM2KLE9,001,2020-07-27_15h28.34.137,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,AZFBGIFM2KLE9,001,2020-07-27_15h28.34.137,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AZFBGIFM2KLE9,001,2020-07-27_15h28.34.137,Fluency_Task,2020.1.2,Win32,60,space,1.95,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AZFBGIFM2KLE9,001,2020-07-27_15h28.34.137,Fluency_Task,2020.1.2,Win32,60,space,2.361,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AZFBGIFM2KLE9,001,2020-07-27_15h28.34.137,Fluency_Task,2020.1.2,Win32,60,space,2.637,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AZFBGIFM2KLE9,001,2020-07-27_15h28.34.137,Fluency_Task,2020.1.2,Win32,60,space,0.742,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AZFBGIFM2KLE9,001,2020-07-27_15h28.34.137,Fluency_Task,2020.1.2,Win32,60,space,2.353,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AZFBGIFM2KLE9,001,2020-07-27_15h28.34.137,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,1,69.554,83,82,79,77,76,76,76,76,76,76,76,76,76,76,76,75,75,75,75,75,75,75,75,75,75,75,75,75,75,74,70,70,5,5.42,,j,3.153,0,0,0,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,
,,,,,,AZFBGIFM2KLE9,001,2020-07-27_15h28.34.137,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,72,43,34,26,25,25,15,,,,,,,,,,,,,,,,,,,,,,,,,,7,4.739,,o,3.261,0,1,1,5,1,Words that start with S,Phonemic,p,self,seminore,super,start,,,
,,,,,,AZFBGIFM2KLE9,001,2020-07-27_15h28.34.137,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,77,69,61,44,39,32,17,2,,,,,,,,,,,,,,,,,,,,,,,,,5,7.067,,j,1.334,0,2,2,8,1,Sports,Semantic,j,sports,football,vollyball,baseball,cricket,hackey,tennies
,,,,,,AZFBGIFM2KLE9,001,2020-07-27_15h28.34.137,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,90,81,72,66,52,17,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3.269,,j,1.223,0,3,3,4,1,Words that start with A,Phonemic,j,all,animotion,animal,about,answer,,
,,,,,,AZFBGIFM2KLE9,001,2020-07-27_15h28.34.137,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,91,83,80,76,72,51,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.815,,j,1.334,0,4,4,6,1,Animals,Semantic,j,lion,bear,dog,cat,rad,,
