consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,rt_14,rt_15,rt_16,rt_17,rt_18,rt_19,rt_20,rt_21,rt_22,rt_23,rt_24
0,0,0,0,1,Consent1.png,AEQ95NMC3VXQ5,001,2020-07-27_16h26.28.964,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,AEQ95NMC3VXQ5,001,2020-07-27_16h26.28.964,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEQ95NMC3VXQ5,001,2020-07-27_16h26.28.964,Fluency_Task,2020.1.2,Win32,60,space,1.47674,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEQ95NMC3VXQ5,001,2020-07-27_16h26.28.964,Fluency_Task,2020.1.2,Win32,60,space,10.454925,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEQ95NMC3VXQ5,001,2020-07-27_16h26.28.964,Fluency_Task,2020.1.2,Win32,60,space,7.599605,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEQ95NMC3VXQ5,001,2020-07-27_16h26.28.964,Fluency_Task,2020.1.2,Win32,60,space,18.270765,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEQ95NMC3VXQ5,001,2020-07-27_16h26.28.964,Fluency_Task,2020.1.2,Win32,60,space,13.117545,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEQ95NMC3VXQ5,001,2020-07-27_16h26.28.964,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,11.257795,apple,artichoke,anteater,abcess,again,advance,addition,abnormal,access,admire,airy,algebra,attack,85,80,75,68,56,53,51,46,38,29,24,14,4,2,6.4654,"Some just popped into my head, and other times I thought of one word because I was inspired by the previous word.",j,3.759595,0,0,0,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEQ95NMC3VXQ5,001,2020-07-27_16h26.28.964,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,car,lawnmower,tools,oil,bicycle,washer,dryer,truck,shelves,paint can,boxes,,,85,82,78,73,71,69,67,62,58,50,18,,,5,4.657485,I tried to picture things I have seen in friends' garages because I have never had a house or apartment that had a garage.,j,1.49993,0,1,1,0,1,Things in a Garage,Spatial,j,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEQ95NMC3VXQ5,001,2020-07-27_16h26.28.964,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,concierge,desk,chairs,tables,posters,postcards,brochures,clerk,computer,telephone,coffee maker,luggage,customers,84,82,78,77,71,69,66,63,59,57,46,35,29,4,1.70182,I mentally pictured the lobbies of hotels and motels I have been to. Some words led to other related words.,j,1.169695,0,2,2,2,1,Things in a Hotel Lobby,Spatial,j,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEQ95NMC3VXQ5,001,2020-07-27_16h26.28.964,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,nurse,doctor,teacher,plumber,artist,researcher,politician,data analyst,programmer,taxi driver,entertainer,,,86,85,83,82,80,62,57,42,27,17,13,,,3,2.529215,I just tried to think of different jobs people can have and the first things that came into my mind were occupations currently in the news such as medical professionals and politicians.,p,2.0476,0,3,3,7,1,Occupations,Semantic,p,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEQ95NMC3VXQ5,001,2020-07-27_16h26.28.964,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,baseball,football,tennis,soccer,track,basketball,hockey,gymnastics,racketball,cycling,sailing,archery,swimming,86,84,83,81,80,73,71,59,45,38,35,9,5,3,2.096075,I am not a sports enthusiast but I went with the most popular sports. I also thought of the sports my husband enjoys and went from there.,j,1.53421,0,4,4,8,1,Sports,Semantic,j,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AEQ95NMC3VXQ5,001,2020-07-27_16h26.28.964,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sweet,silver,sugar,stain,spend,sparrow,slender,slime,sandy,super,slick,salivate,saying,86,84,81,78,77,74,70,68,64,60,56,51,46,1,3.626375,"Some just came into my head. Others were inspired by the preceding word, either by the first two letters or by similarity in context.",p,1.301575,0,5,5,5,1,Words that start with S,Phonemic,p,starry,sanguine,silly,stupid,sense,stand,short,sorrow,sadness,skate,skirt,41,36,33,31,27,22,19,16,11,6,4
,,,,,,AEQ95NMC3VXQ5,001,2020-07-27_16h26.28.964,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,waiter,table,menu,glasses,cashier,credit card,check,restroom,greeter,silverware,condiments,diners,uniforms,84,82,81,78,62,57,46,42,32,23,20,15,9,4,1.844855,I just imagine being in a restaurant and what I would see there. ,p,1.296295,0,6,6,1,1,Things in a Restaurant,Spatial,p,cook,,,,,,,,,,,5,,,,,,,,,,
,,,,,,AEQ95NMC3VXQ5,001,2020-07-27_16h26.28.964,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,flower,friend,fancy,fish,frying,flip,fake,funny,face,fierce,focal,flapper,fright,86,84,82,80,77,73,70,68,64,61,58,51,46,2,1.777705,Most of them just came into my head willy nilly.,p,1.169415,0,7,7,3,1,Words that start with F,Phonemic,p,frigid,freak,fussy,foreign,farce,ferocious,,,,,,40,28,23,16,12,8,,,,,
,,,,,,AEQ95NMC3VXQ5,001,2020-07-27_16h26.28.964,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cat,dog,rat,rabbit,raccoon,horse,goat,cow,tiger,lion,monkey,squirrel,lizard,87,86,85,84,82,78,77,76,64,63,60,50,41,3,2.280565,"I first imagined animals people have as pets, then wild animals, and then zoo animals. Sometimes one animal would lead me to think of another.",j,1.45033,0,8,8,6,1,Animals,Semantic,j,snake,eel,chipmunk,possum,armadillo,,,,,,,32,28,20,14,9,,,,,,
