consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word7,word8,word9,word10,word11,rt_7,rt_8,rt_9,rt_10,rt_11,word12,rt_12,word13,word14,word15,word16,rt_13,rt_14,rt_15,rt_16,rt_17
0,0,0,0,1,Consent1.png,A1BQTDDVCHQM5T,001,2020-07-27_14h54.36.675,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1BQTDDVCHQM5T,001,2020-07-27_14h54.36.675,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1BQTDDVCHQM5T,001,2020-07-27_14h54.36.675,Fluency_Task,2020.1.2,Win32,60,space,2.228,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1BQTDDVCHQM5T,001,2020-07-27_14h54.36.675,Fluency_Task,2020.1.2,Win32,60,space,18.482,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1BQTDDVCHQM5T,001,2020-07-27_14h54.36.675,Fluency_Task,2020.1.2,Win32,60,space,17.158,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1BQTDDVCHQM5T,001,2020-07-27_14h54.36.675,Fluency_Task,2020.1.2,Win32,60,space,33.661,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1BQTDDVCHQM5T,001,2020-07-27_14h54.36.675,Fluency_Task,2020.1.2,Win32,60,space,20.159,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1BQTDDVCHQM5T,001,2020-07-27_14h54.36.675,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,12.919,anthem,antibody,auxiliary,autocratic,autonomus,allieviate,77,72,64,51,41,14,5,5.144,I just wrote down what first popped into my head.,j,4.792,0,0,0,4,1,Words that start with A,Phonemic,j,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1BQTDDVCHQM5T,001,2020-07-27_14h54.36.675,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,doctor,nurse,radiologist,orderly,janitor,teacher,79,74,68,52,47,43,5,13.29,I thought about the pandemic and all the health workers and educators that helped people during dangerous times.,p,2.49,0,1,1,7,1,Occupations,Semantic,p,cook,principal,administrator,clinician,surgeon,40,23,16,9,3,,,,,,,,,,,
,,,,,,A1BQTDDVCHQM5T,001,2020-07-27_14h54.36.675,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,front desk,computer,room cards,manager,chairs ,sofas,74,57,48,35,29,26,6,7.538,I was trying to remember the last time I was in a hotel and what I saw in the lobby while waiting to get my room card.,j,2.115,0,2,2,2,1,Things in a Hotel Lobby,Spatial,j,lamps,potted  plants,luggage carts,,,23,13,1,,,,,,,,,,,,,
,,,,,,A1BQTDDVCHQM5T,001,2020-07-27_14h54.36.675,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fulcrum,fascinating,fullsome,forthright,forceful,,79,66,53,46,35,,7,2.58,I was reaching deeply for some of these words. The letter 'f' is not one I use much.,p,2.093,0,3,3,3,1,Words that start with F,Phonemic,p,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1BQTDDVCHQM5T,001,2020-07-27_14h54.36.675,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,songstress,sibilant,sophistry,somulent,sybilant,sophisticated ,74,68,63,48,19,10,6,4.986,I just thought back to some of my vocabulary tests in freshman English.,p,1.907,0,4,4,5,1,Words that start with S,Phonemic,p,subtle,,,,,6,,,,,,,,,,,,,,,
,,,,,,A1BQTDDVCHQM5T,001,2020-07-27_14h54.36.675,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,baseball,football,basketball,hockey,tennis,lacrosse,79,74,69,67,64,55,4,6.018,I was remembering all the sports that are just now beginning to be played again during the pandemic. I am concerned the players don't contract the virus.,j,2.469,0,5,5,8,1,Sports,Semantic,j,soccer,weightlifting,track and field,boxing,martial arts,44,36,26,15,9,swimming,1,,,,,,,,,
,,,,,,A1BQTDDVCHQM5T,001,2020-07-27_14h54.36.675,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,elephants,rhinos,hippos,giraffes,gazelles,lions,83,75,72,69,60,54,3,6.167,I watch the animal channels with my children and enjoy their reactions to the animal's behavior.,j,1.686,0,6,6,6,1,Animals,Semantic,j,tigers,cheetahs,leopards,hyenas,snakes,51,48,44,39,33,turtles,26,iguanas,horses ,cows,pigs,18,14,6,4,2
,,,,,,A1BQTDDVCHQM5T,001,2020-07-27_14h54.36.675,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,waiters,maitre d,busboys,hostess,tables ,chairs,80,51,45,41,36,34,5,3.987,It has been several months since I took the family out for lunch or dinner in a restaurant.,p,1.7,0,7,7,1,1,Things in a Restaurant,Spatial,p,plates,silverware,glasses,tablecloths,napkins,31,27,24,16,12,cutlery,3,,,,,,,,,
,,,,,,A1BQTDDVCHQM5T,001,2020-07-27_14h54.36.675,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,automobile,jack,oil cans,garden tools,hoses,fertilizer,79,73,60,45,41,35,4,4.977,I thought of my own somewhat messy garage and some of the things I put in it.,j,1.687,0,8,8,0,1,Things in a Garage,Spatial,j,plant food,insecticides,lawnmower,edger,trimmer,31,20,13,9,5,,,,,,,,,,,
