Category,Type,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,key_resp_diff.keys,key_resp_diff.rt,key_resp_diff.started,key_resp_diff.stopped,Strategy_resp,word12,word13,rt_8,rt_9,word14,rt_10,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Things in a garage,Spatial,,,,,0,0,0,0,8.545546190813184,None,jkjlkj,,mlkl,lkjlkj,ljhlk,jlkjlk,lkj,,,,,1.9975602724589407,5.299297511577606,6.5331398895941675,7.598801469430327,8.582087606657296,9.89981752447784,10.69997382722795,4,1.3810854433104396,21.86541485367343,None,kjhkj,,,,,,,,,786,001,2020_Jun_29_1247,Word Fluency Task,2020.1.2,59.95556816054392,
Animals,Semantic,,,,,0,1,1,6,,,hkjhkj,kjlkj,lkjlkj,lkjlk,lkjlj,kjlk,,,,,,3.377675987314433,5.879324532113969,6.945098854135722,7.896157739218324,9.31416564900428,10.513685820158571,,5,0.7510954081080854,36.7044164496474,None,kjljlk,,,,,,,,,786,001,2020_Jun_29_1247,Word Fluency Task,2020.1.2,59.95556816054392,
Sports,Semantic,,,,,0,2,2,8,,,kjkjh,kjhkjh,kjhjkh,kjhjh,hkjhj,,,,,,,1.9933258555829525,2.89325285051018,3.82690511085093,4.793584969826043,10.546502276789397,,,3,0.33774129301309586,50.775550950784236,None,lkjl,,,,,,,,,786,001,2020_Jun_29_1247,Word Fluency Task,2020.1.2,59.95556816054392,
Things in a kitchen,Spatial,,,,,0,3,3,2,,,lkjlkj,kjjlkjlkj,kjlkjlkj,lkjlkj,kjhkjh,lkjlkjl,kjhkjh,kljlkj,lkj,,,1.944692627992481,3.1116221831180155,4.31073883920908,5.211144824046642,6.2614301280118525,7.495501730125397,8.479834317229688,4,0.8663230002857745,64.57978375069797,None,kjhkjh,,,9.395704448223114,10.295848375186324,,,,,786,001,2020_Jun_29_1247,Word Fluency Task,2020.1.2,59.95556816054392,
Words that start with F,Phonemic,,,,,0,4,4,3,,,jgjhg,kjhkjh,kjhkjh,kjhkjh,kjhkjh,kjhkjh,kjhkjh,kjhkjh,lkjlkj,ljlkj,,2.0213254899717867,2.940417217556387,3.8573099547065794,4.774253397714347,5.722684014588594,6.573678147513419,7.441957697737962,5,0.9315648460760713,78.56608442496508,None,kjlkj,,,8.341902959626168,9.225822301581502,,10.208136677742004,,,786,001,2020_Jun_29_1247,Word Fluency Task,2020.1.2,59.95556816054392,
Words that start with A,Phonemic,,,,,0,5,5,4,,,kjlkj,lkjlkj,lkjlkj,lkjlkj,lkjlkj,lkjlkj,lkjlkj,lkjlkj,lkjlkj,lkjlkj,,2.5318506695330143,3.4604438855312765,4.359937494620681,5.232023265678436,6.164602072443813,7.198441882617772,8.16222448181361,4,0.8751365509815514,92.77528907964006,None,kjhkjhkj,,,9.094277314841747,10.045003440696746,,10.88259644061327,,,786,001,2020_Jun_29_1247,Word Fluency Task,2020.1.2,59.95556816054392,
Things in a bedroom,Spatial,,,,,0,6,6,1,,,jhgjhg,kjhkjh,kjhkjh,kjhjh,kjhkjh,kjhkjh,kjhkjh,kjhjh,,,,2.726506325881928,3.7105293828062713,4.610851694829762,5.506761549040675,6.374048658180982,7.244740022812039,8.16159335989505,4,1.0385740608908236,107.07962533971295,None,kjhkjh,,,9.05783147411421,,,,,,786,001,2020_Jun_29_1247,Word Fluency Task,2020.1.2,59.95556816054392,
Words that start with S,Phonemic,,,,,0,7,7,5,,,lkjlkj,lkjlkjlj,lkjlkjlkj,lkjlj,lkjlkj,lkjlkj,lkjlkj,lkjlj,lkjlkj,,,2.1938411914743483,3.3144180923700333,4.476495366543531,5.377019762527198,6.195194166619331,7.0289554903283715,7.862165160477161,2,1.255393536761403,121.33061231300235,None,fdgfg,,,8.69402292650193,9.511802152730525,,,,,786,001,2020_Jun_29_1247,Word Fluency Task,2020.1.2,59.95556816054392,
Occupations,Semantic,,,,,0,8,8,7,,,khkjhkj,kjhkjh,kjhkjh,kjhkjh,jkhkjh,kjhkjh,kjhkjh,kjhkjh,,,,3.1765527557581663,4.076760133728385,4.960402603726834,5.994025305844843,6.961702990811318,7.894224961753935,8.827625787816942,3,0.796282656956464,136.2686617616564,None,kjhkjh,,,9.745731141418219,,,,,,786,001,2020_Jun_29_1247,Word Fluency Task,2020.1.2,59.95556816054392,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.55132046574727,None,,,,,,,
